event_id,match_id,frame,ball_x,ball_y,distance,angle,pressure,gk_dist,gk_angle_blocked,defenders_cone,one_touch,is_header,phase_type,goal
8_749,2011166,67128,44.22,3.68,9.061,0.7229,4,0.85,0.17266106547249396,0,1,1,set_play,0
8_756,2011166,67667,48.95,-6.85,7.715,0.513,1,1.34,0.4099666728024579,0,1,1,finish,0
8_155,2013725,11999,29.67,16.15,27.965,0.2141,1,2.57,0.18671437806674201,0,0,0,transition,0
8_176,2013725,13729,49.51,-2.7,4.029,1.442,2,0.17,0.22569457985190292,0,1,1,set_play,0
8_181,2013725,14234,25.6,-10.24,28.783,0.237,1,4.37,0.17650109673266062,0,0,0,finish,0
8_198,2013725,15716,42.09,-12.02,15.901,0.3081,1,2.36,0.280884140570516,0,0,0,set_play,0
8_307,2013725,21697,30.59,-10.78,24.418,0.2685,0,1.12,0.16179657434972694,1,1,0,finish,0
8_337,2013725,22515,51.41,4.2,4.339,0.973,1,0.71,1.0,0,1,1,finish,0
8_356,2013725,23907,49.64,-13.78,14.074,0.1129,1,6.98,1.0,0,0,0,finish,0
8_411,2013725,26316,28.49,0.33,24.012,0.3025,1,2.42,0.15307896017936257,0,0,0,quick_break,0
8_424,2013725,27109,36.01,-12.15,20.483,0.2889,1,1.96,0.20440026237230866,1,0,0,transition,0
8_438,2013725,28523,31.87,-10.65,23.217,0.2798,1,1.45,0.1692191451498088,1,0,0,quick_break,0
8_54,2013725,6379,49.58,4.68,5.516,0.898,0,0.73,0.18621631529192356,0,1,0,transition,1
8_547,2013725,43944,37.43,7.84,16.987,0.3813,0,2.25,0.17453537407505018,1,1,0,quick_break,0
8_555,2013725,44689,32.73,11.18,22.712,0.2804,3,3.02,0.18735135513821216,1,0,0,transition,0
8_649,2013725,50606,35.78,-2.55,16.913,0.4219,2,1.04,0.15025818509015493,2,1,0,set_play,0
8_664,2013725,51925,42.05,-7.68,12.969,0.459,1,1.98,0.2150961177685804,0,0,0,quick_break,0
8_665,2013725,52387,50.78,-5.06,5.344,0.6929,2,0.66,0.6571459571264487,0,1,1,set_play,0
8_725,2013725,54916,28.91,1.52,23.639,0.3066,0,2.13,0.15157561288853186,1,1,0,finish,0
8_771,2013725,56744,32.29,-4.11,20.624,0.3448,1,2.22,0.15791369422893936,1,0,0,finish,0
8_788,2013725,57447,37.97,-10.84,18.128,0.3254,3,2.65,0.21246738089705539,1,0,0,finish,0
8_867,2013725,61722,44.42,-3.7,8.887,0.7338,1,0.51,0.16504951986440008,1,1,1,set_play,0
8_886,2013725,62456,35.96,7.62,18.211,0.3635,0,3.02,0.1845070613183072,0,0,0,transition,0
8_888,2013725,62552,29.15,10.15,25.461,0.263,0,1.81,0.16165497182664068,2,0,0,quick_break,0
8_893,2013725,63112,38.47,8.08,16.19,0.3916,1,2.52,0.19783586172133197,0,1,0,finish,0
8_938,2013725,66663,52.5,-1.72,1.72,3.1416,0,0.33,0.3720569360538687,0,1,1,set_play,0
8_950,2013725,67293,34.18,-2.79,18.531,0.386,1,1.28,0.15032811063109855,1,0,0,finish,0
8_222,2015213,12915,44.67,3.83,8.717,0.7415,3,2.62,0.2420799783610177,0,0,0,quick_break,1
8_257,2015213,15183,28.51,8.15,25.337,0.2724,1,2.67,0.1618283874719343,0,0,0,finish,0
8_258,2015213,15561,48.93,6.44,7.363,0.5694,1,1.89,0.43002133855747043,0,1,1,set_play,1
8_285,2015213,18109,48.84,-11.63,12.192,0.1955,1,0.8,0.60592357350031,1,1,1,finish,0
8_382,2015213,23431,35.03,16.19,23.818,0.2269,2,1.86,0.21008849469356408,0,0,0,finish,0
8_424,2015213,24753,40.06,14.01,18.736,0.2634,1,1.77,0.2485478930068123,1,0,0,finish,0
